Date,Open,High,Low,Close,Adj Close,Volume
"Aug 31, 2023",4517.01,4532.26,4515.74,4517.94,4517.94,719620885
"Aug 30, 2023",4500.34,4521.65,4493.59,4514.87,4514.87,3064110000
"Aug 29, 2023",4432.75,4500.14,4431.68,4497.63,4497.63,3354820000
"Aug 28, 2023",4426.03,4439.56,4414.98,4433.31,4433.31,2957230000
"Aug 25, 2023",4389.38,4418.46,4356.29,4405.71,4405.71,3296180000
"Aug 24, 2023",4455.16,4458.3,4375.55,4376.31,4376.31,3723470000
"Aug 23, 2023",4396.44,4443.18,4396.44,4436.01,4436.01,3837270000
"Aug 22, 2023",4415.33,4418.59,4382.77,4387.55,4387.55,3522760000
"Aug 21, 2023",4380.28,4407.55,4360.3,4399.77,4399.77,3726850000
"Aug 18, 2023",4344.88,4381.82,4335.31,4369.71,4369.71,3940400000
"Aug 17, 2023",4416.32,4421.17,4364.83,4370.36,4370.36,3943700000
"Aug 16, 2023",4433.79,4449.95,4403.55,4404.33,4404.33,3753910000
"Aug 15, 2023",4478.87,4478.87,4432.19,4437.86,4437.86,3832250000
"Aug 14, 2023",4458.13,4490.33,4453.44,4489.72,4489.72,3896410000
"Aug 11, 2023",4450.69,4476.23,4443.98,4464.05,4464.05,3753290000
"Aug 10, 2023",4487.16,4527.37,4457.92,4468.83,4468.83,4504370000
"Aug 09, 2023",4501.57,4502.44,4461.33,4467.71,4467.71,3803100000
"Aug 08, 2023",4498.03,4503.31,4464.39,4499.38,4499.38,3884910000
"Aug 07, 2023",4491.58,4519.84,4491.15,4518.44,4518.44,3493920000
"Aug 04, 2023",4513.96,4540.34,4474.55,4478.03,4478.03,4143310000
"Aug 03, 2023",4494.27,4519.49,4485.54,4501.89,4501.89,4149120000
"Aug 02, 2023",4550.93,4550.93,4505.75,4513.39,4513.39,4270710000
"Aug 01, 2023",4578.83,4584.62,4567.53,4576.73,4576.73,4042370000
"Jul 31, 2023",4584.82,4594.22,4573.14,4588.96,4588.96,4503600000
"Jul 28, 2023",4565.75,4590.16,4564.01,4582.23,4582.23,3981010000
"Jul 27, 2023",4598.26,4607.07,4528.56,4537.41,4537.41,4553210000
"Jul 26, 2023",4558.96,4582.47,4547.58,4566.75,4566.75,3990290000
"Jul 25, 2023",4555.19,4580.62,4552.42,4567.46,4567.46,3812470000
"Jul 24, 2023",4543.39,4563.41,4541.29,4554.64,4554.64,3856250000
"Jul 21, 2023",4550.16,4555,4535.79,4536.34,4536.34,3570190000
"Jul 20, 2023",4554.38,4564.74,4527.56,4534.87,4534.87,3761770000
"Jul 19, 2023",4563.87,4578.43,4557.48,4565.72,4565.72,4115670000
"Jul 18, 2023",4521.78,4562.3,4514.59,4554.98,4554.98,4090010000
"Jul 17, 2023",4508.86,4532.85,4504.9,4522.79,4522.79,3538240000
"Jul 14, 2023",4514.61,4527.76,4499.56,4505.42,4505.42,3647450000
"Jul 13, 2023",4491.5,4517.38,4489.36,4510.04,4510.04,3839530000
"Jul 12, 2023",4467.69,4488.34,4463.23,4472.16,4472.16,3920290000
"Jul 11, 2023",4415.55,4443.64,4408.46,4439.26,4439.26,3624220000
"Jul 10, 2023",4394.23,4412.6,4389.92,4409.53,4409.53,3429600000
"Jul 07, 2023",4404.54,4440.39,4397.4,4398.95,4398.95,3630480000
"Jul 06, 2023",4422.62,4422.62,4385.05,4411.59,4411.59,3682020000
"Jul 05, 2023",4442.04,4454.06,4436.61,4446.82,4446.82,3482620000
"Jul 03, 2023",4450.48,4456.46,4442.29,4455.59,4455.59,2034280000
"Jun 30, 2023",4422.44,4458.48,4422.44,4450.38,4450.38,3923450000
"Jun 29, 2023",4374.94,4398.39,4371.97,4396.44,4396.44,3696660000
"Jun 28, 2023",4367.48,4390.35,4360.22,4376.86,4376.86,3739330000
"Jun 27, 2023",4337.36,4384.42,4335,4378.41,4378.41,3573500000
"Jun 26, 2023",4344.84,4362.06,4328.08,4328.82,4328.82,3415030000
"Jun 23, 2023",4354.17,4366.55,4341.34,4348.33,4348.33,6053620000
"Jun 22, 2023",4355.4,4382.25,4351.82,4381.89,4381.89,3511000000
"Jun 21, 2023",4380.01,4386.22,4360.14,4365.69,4365.69,3709330000
"Jun 20, 2023",4396.11,4400.15,4367.19,4388.71,4388.71,4055790000
"Jun 16, 2023",4440.95,4448.47,4407.44,4409.59,4409.59,6848600000
"Jun 15, 2023",4365.33,4439.2,4362.6,4425.84,4425.84,4176690000
"Jun 14, 2023",4366.29,4391.82,4337.85,4372.59,4372.59,4252110000
"Jun 13, 2023",4352.61,4375.37,4349.31,4369.01,4369.01,4275400000
"Jun 12, 2023",4308.32,4340.13,4304.37,4338.93,4338.93,3945670000
"Jun 09, 2023",4304.88,4322.62,4291.7,4298.86,4298.86,3786510000
"Jun 08, 2023",4268.69,4298.01,4261.07,4293.93,4293.93,3826740000
"Jun 07, 2023",4285.47,4299.19,4263.96,4267.52,4267.52,4537800000
"Jun 06, 2023",4271.34,4288.33,4263.09,4283.85,4283.85,3996560000
"Jun 05, 2023",4282.99,4299.28,4266.82,4273.79,4273.79,3813290000
